X,CH1,ln
Second,Volt,
8.00E-08,3.04E+00,1.111857515
9.00E-08,3.04E+00,1.111857515
1.00E-07,3.02E+00,1.105256831
1.10E-07,2.98E+00,1.091923301
1.20E-07,2.96E+00,1.085189268
1.30E-07,2.94E+00,1.078409581
1.40E-07,2.94E+00,1.078409581
1.50E-07,2.90E+00,1.064710737
1.60E-07,2.90E+00,1.064710737
1.70E-07,2.88E+00,1.057790294
1.80E-07,2.88E+00,1.057790294
1.90E-07,2.82E+00,1.036736885
2.00E-07,2.80E+00,1.029619417
2.10E-07,2.78E+00,1.022450928
2.20E-07,2.76E+00,1.01523068
2.30E-07,2.72E+00,1.00063188
2.40E-07,2.70E+00,0.993251773
2.50E-07,2.70E+00,0.993251773
2.60E-07,2.68E+00,0.985816795
2.70E-07,2.64E+00,0.970778917
2.80E-07,2.66E+00,0.978326123
2.90E-07,2.64E+00,0.970778917
3.00E-07,2.62E+00,0.963174318
3.10E-07,2.58E+00,0.947789399
3.20E-07,2.56E+00,0.940007258
3.30E-07,2.54E+00,0.932164081
3.40E-07,2.54E+00,0.932164081
3.50E-07,2.50E+00,0.916290732
3.60E-07,2.50E+00,0.916290732
3.70E-07,2.48E+00,0.90825856
3.80E-07,2.46E+00,0.90016135
3.90E-07,2.46E+00,0.90016135
4.00E-07,2.44E+00,0.891998039
4.10E-07,2.42E+00,0.88376754
4.20E-07,2.40E+00,0.875468737
4.30E-07,2.40E+00,0.875468737
4.40E-07,2.36E+00,0.858661619
4.50E-07,2.34E+00,0.850150929
4.60E-07,2.32E+00,0.841567186
4.70E-07,2.32E+00,0.841567186
4.80E-07,2.30E+00,0.832909123
4.90E-07,2.28E+00,0.824175443
5.00E-07,2.28E+00,0.824175443
5.10E-07,2.24E+00,0.806475866
5.20E-07,2.24E+00,0.806475866
5.30E-07,2.22E+00,0.797507196
5.40E-07,2.22E+00,0.797507196
5.50E-07,2.18E+00,0.779324877
5.60E-07,2.18E+00,0.779324877
5.70E-07,2.16E+00,0.770108222
5.80E-07,2.14E+00,0.760805829
5.90E-07,2.14E+00,0.760805829
6.00E-07,2.12E+00,0.751416089
6.10E-07,2.10E+00,0.741937345
6.20E-07,2.10E+00,0.741937345
6.30E-07,2.06E+00,0.722705983
6.40E-07,2.06E+00,0.722705983
6.50E-07,2.06E+00,0.722705983
6.60E-07,2.04E+00,0.712949808
6.70E-07,2.02E+00,0.703097511
6.80E-07,2.02E+00,0.703097511
6.90E-07,2.00E+00,0.693147181
7.00E-07,1.98E+00,0.683096845
7.10E-07,1.98E+00,0.683096845
7.20E-07,1.98E+00,0.683096845
7.30E-07,1.96E+00,0.672944473
7.40E-07,1.94E+00,0.662687973
7.50E-07,1.92E+00,0.652325186
7.60E-07,1.90E+00,0.641853886
7.70E-07,1.90E+00,0.641853886
7.80E-07,1.90E+00,0.641853886
7.90E-07,1.88E+00,0.631271777
8.00E-07,1.86E+00,0.620576488
8.10E-07,1.86E+00,0.620576488
8.20E-07,1.84E+00,0.609765572
8.30E-07,1.82E+00,0.598836501
8.40E-07,1.82E+00,0.598836501
8.50E-07,1.82E+00,0.598836501
8.60E-07,1.80E+00,0.587786665
8.70E-07,1.78E+00,0.576613364
8.80E-07,1.78E+00,0.576613364
8.90E-07,1.76E+00,0.565313809
9.00E-07,1.74E+00,0.553885113
9.10E-07,1.74E+00,0.553885113
9.20E-07,1.74E+00,0.553885113
9.30E-07,1.72E+00,0.542324291
9.40E-07,1.72E+00,0.542324291
9.50E-07,1.68E+00,0.518793793
9.60E-07,1.68E+00,0.518793793
9.70E-07,1.66E+00,0.506817602
9.80E-07,1.66E+00,0.506817602
9.90E-07,1.64E+00,0.494696242
1.00E-06,1.64E+00,0.494696242
1.01E-06,1.64E+00,0.494696242
1.02E-06,1.62E+00,0.482426149
1.03E-06,1.60E+00,0.470003629
1.04E-06,1.60E+00,0.470003629
1.05E-06,1.58E+00,0.457424847
1.06E-06,1.58E+00,0.457424847
1.07E-06,1.58E+00,0.457424847
1.08E-06,1.58E+00,0.457424847
1.09E-06,1.56E+00,0.444685821
1.10E-06,1.54E+00,0.431782416
1.11E-06,1.54E+00,0.431782416
1.12E-06,1.52E+00,0.418710335
1.13E-06,1.50E+00,0.405465108
1.14E-06,1.50E+00,0.405465108
1.15E-06,1.50E+00,0.405465108
1.16E-06,1.46E+00,0.378436436
1.17E-06,1.50E+00,0.405465108
1.18E-06,1.46E+00,0.378436436
1.19E-06,1.44E+00,0.364643114
1.20E-06,1.44E+00,0.364643114
1.21E-06,1.44E+00,0.364643114
1.22E-06,1.42E+00,0.350656872
1.23E-06,1.40E+00,0.336472237
1.24E-06,1.40E+00,0.336472237
1.25E-06,1.38E+00,0.322083499
1.26E-06,1.38E+00,0.322083499
1.27E-06,1.36E+00,0.3074847
1.28E-06,1.34E+00,0.292669614
1.29E-06,1.34E+00,0.292669614
1.30E-06,1.34E+00,0.292669614
1.31E-06,1.32E+00,0.277631737
1.32E-06,1.32E+00,0.277631737
1.33E-06,1.32E+00,0.277631737
1.34E-06,1.32E+00,0.277631737
1.35E-06,1.30E+00,0.262364264
1.36E-06,1.30E+00,0.262364264
1.37E-06,1.28E+00,0.246860078
1.38E-06,1.28E+00,0.246860078
1.39E-06,1.26E+00,0.231111721
1.40E-06,1.26E+00,0.231111721
1.41E-06,1.24E+00,0.21511138
1.42E-06,1.24E+00,0.21511138
1.43E-06,1.24E+00,0.21511138
1.44E-06,1.22E+00,0.198850859
1.45E-06,1.22E+00,0.198850859
1.46E-06,1.20E+00,0.182321557
1.47E-06,1.20E+00,0.182321557
1.48E-06,1.18E+00,0.165514438
1.49E-06,1.18E+00,0.165514438
1.50E-06,1.18E+00,0.165514438
1.51E-06,1.16E+00,0.148420005
1.52E-06,1.16E+00,0.148420005
1.53E-06,1.16E+00,0.148420005
1.54E-06,1.16E+00,0.148420005
1.55E-06,1.14E+00,0.131028262
1.56E-06,1.12E+00,0.113328685
1.57E-06,1.12E+00,0.113328685
1.58E-06,1.12E+00,0.113328685
1.59E-06,1.10E+00,0.09531018
1.60E-06,1.10E+00,0.09531018
1.61E-06,1.10E+00,0.09531018
1.62E-06,1.08E+00,0.076961041
1.63E-06,1.08E+00,0.076961041
1.64E-06,1.08E+00,0.076961041
1.65E-06,1.08E+00,0.076961041
1.66E-06,1.08E+00,0.076961041
1.67E-06,1.04E+00,0.039220713
1.68E-06,1.06E+00,0.058268908
1.69E-06,1.04E+00,0.039220713
1.70E-06,1.02E+00,0.019802627
1.71E-06,1.02E+00,0.019802627
1.72E-06,1.02E+00,0.019802627
1.73E-06,1.00E+00,0
1.74E-06,1.00E+00,0
1.75E-06,1.00E+00,0
1.76E-06,1.00E+00,0
1.77E-06,1.00E+00,0
1.78E-06,1.00E+00,0
1.79E-06,9.80E-01,-0.020202707
1.80E-06,9.80E-01,-0.020202707
1.81E-06,9.60E-01,-0.040821995
1.82E-06,9.60E-01,-0.040821995
1.83E-06,9.40E-01,-0.061875404
1.84E-06,9.60E-01,-0.040821995
1.85E-06,9.60E-01,-0.040821995
1.86E-06,9.40E-01,-0.061875404
1.87E-06,9.20E-01,-0.083381609
1.88E-06,9.20E-01,-0.083381609
1.89E-06,9.20E-01,-0.083381609
1.90E-06,9.20E-01,-0.083381609
1.91E-06,9.20E-01,-0.083381609
1.92E-06,9.20E-01,-0.083381609
1.93E-06,9.00E-01,-0.105360516
1.94E-06,9.00E-01,-0.105360516
1.95E-06,9.00E-01,-0.105360516
1.96E-06,9.00E-01,-0.105360516
1.97E-06,8.80E-01,-0.127833372
1.98E-06,8.60E-01,-0.15082289
1.99E-06,8.60E-01,-0.15082289
2.00E-06,8.60E-01,-0.15082289
2.01E-06,8.60E-01,-0.15082289
2.02E-06,8.60E-01,-0.15082289
2.03E-06,8.40E-01,-0.174353387
2.04E-06,8.40E-01,-0.174353387
2.05E-06,8.40E-01,-0.174353387
2.06E-06,8.40E-01,-0.174353387
2.07E-06,8.20E-01,-0.198450939
2.08E-06,8.20E-01,-0.198450939
2.09E-06,8.20E-01,-0.198450939
2.10E-06,8.00E-01,-0.223143551
2.11E-06,8.00E-01,-0.223143551
2.12E-06,8.00E-01,-0.223143551
2.13E-06,8.00E-01,-0.223143551
2.14E-06,8.00E-01,-0.223143551
2.15E-06,7.80E-01,-0.248461359
2.16E-06,7.80E-01,-0.248461359
2.17E-06,7.80E-01,-0.248461359
2.18E-06,7.60E-01,-0.274436846
2.19E-06,7.60E-01,-0.274436846
2.20E-06,7.60E-01,-0.274436846
2.21E-06,7.60E-01,-0.274436846
2.22E-06,7.60E-01,-0.274436846
2.23E-06,7.60E-01,-0.274436846
2.24E-06,7.60E-01,-0.274436846
2.25E-06,7.40E-01,-0.301105093
2.26E-06,7.40E-01,-0.301105093
2.27E-06,7.40E-01,-0.301105093
2.28E-06,7.20E-01,-0.328504067
2.29E-06,7.20E-01,-0.328504067
2.30E-06,7.20E-01,-0.328504067
2.31E-06,7.00E-01,-0.356674944
2.32E-06,7.20E-01,-0.328504067
2.33E-06,7.00E-01,-0.356674944
2.34E-06,7.00E-01,-0.356674944
2.35E-06,6.80E-01,-0.385662481
2.36E-06,7.00E-01,-0.356674944
2.37E-06,6.80E-01,-0.385662481
2.38E-06,6.80E-01,-0.385662481
2.39E-06,6.80E-01,-0.385662481
2.40E-06,6.80E-01,-0.385662481
2.41E-06,6.80E-01,-0.385662481
2.42E-06,6.80E-01,-0.385662481
2.43E-06,6.60E-01,-0.415515444
2.44E-06,6.40E-01,-0.446287103
2.45E-06,6.60E-01,-0.415515444
2.46E-06,6.40E-01,-0.446287103
2.47E-06,6.40E-01,-0.446287103
2.48E-06,6.40E-01,-0.446287103
2.49E-06,6.20E-01,-0.478035801
2.50E-06,6.40E-01,-0.446287103
2.51E-06,6.20E-01,-0.478035801
2.52E-06,6.00E-01,-0.510825624
2.53E-06,6.00E-01,-0.510825624
2.54E-06,6.00E-01,-0.510825624
2.55E-06,6.00E-01,-0.510825624
2.56E-06,6.00E-01,-0.510825624
2.57E-06,6.00E-01,-0.510825624
2.58E-06,6.00E-01,-0.510825624
2.59E-06,6.00E-01,-0.510825624
2.60E-06,6.00E-01,-0.510825624
2.61E-06,5.80E-01,-0.544727175
2.62E-06,5.80E-01,-0.544727175
2.63E-06,5.80E-01,-0.544727175
2.64E-06,5.60E-01,-0.579818495
2.65E-06,5.80E-01,-0.544727175
2.66E-06,5.60E-01,-0.579818495
2.67E-06,5.60E-01,-0.579818495
2.68E-06,5.60E-01,-0.579818495
2.69E-06,5.60E-01,-0.579818495
2.70E-06,5.60E-01,-0.579818495
2.71E-06,5.40E-01,-0.616186139
2.72E-06,5.40E-01,-0.616186139
2.73E-06,5.40E-01,-0.616186139
2.74E-06,5.40E-01,-0.616186139
2.75E-06,5.40E-01,-0.616186139
2.76E-06,5.20E-01,-0.653926467
2.77E-06,5.20E-01,-0.653926467
2.78E-06,5.20E-01,-0.653926467
2.79E-06,5.20E-01,-0.653926467
2.80E-06,5.20E-01,-0.653926467
2.81E-06,5.20E-01,-0.653926467
2.82E-06,5.20E-01,-0.653926467
2.83E-06,5.20E-01,-0.653926467
2.84E-06,5.20E-01,-0.653926467
2.85E-06,5.20E-01,-0.653926467
2.86E-06,5.00E-01,-0.693147181
2.87E-06,5.00E-01,-0.693147181
2.88E-06,5.00E-01,-0.693147181
2.89E-06,5.00E-01,-0.693147181
2.90E-06,5.00E-01,-0.693147181
2.91E-06,4.80E-01,-0.733969175
2.92E-06,4.80E-01,-0.733969175
2.93E-06,4.80E-01,-0.733969175
2.94E-06,5.00E-01,-0.693147181
2.95E-06,5.00E-01,-0.693147181
2.96E-06,4.80E-01,-0.733969175
2.97E-06,4.80E-01,-0.733969175
2.98E-06,4.80E-01,-0.733969175
2.99E-06,4.80E-01,-0.733969175
3.00E-06,4.80E-01,-0.733969175
3.01E-06,4.80E-01,-0.733969175
3.02E-06,4.60E-01,-0.776528789
3.03E-06,4.60E-01,-0.776528789
3.04E-06,4.40E-01,-0.820980552
3.05E-06,4.60E-01,-0.776528789
3.06E-06,4.60E-01,-0.776528789
3.07E-06,4.40E-01,-0.820980552
3.08E-06,4.40E-01,-0.820980552
3.09E-06,4.40E-01,-0.820980552
3.10E-06,4.40E-01,-0.820980552
3.11E-06,4.40E-01,-0.820980552
3.12E-06,4.40E-01,-0.820980552
3.13E-06,4.40E-01,-0.820980552
3.14E-06,4.20E-01,-0.867500568
3.15E-06,4.20E-01,-0.867500568
3.16E-06,4.00E-01,-0.916290732
3.17E-06,4.20E-01,-0.867500568
3.18E-06,4.20E-01,-0.867500568
3.19E-06,4.20E-01,-0.867500568
3.20E-06,4.00E-01,-0.916290732
3.21E-06,4.00E-01,-0.916290732
3.22E-06,4.00E-01,-0.916290732
3.23E-06,3.80E-01,-0.967584026
3.24E-06,4.00E-01,-0.916290732
3.25E-06,3.80E-01,-0.967584026
3.26E-06,3.80E-01,-0.967584026
3.27E-06,3.80E-01,-0.967584026
3.28E-06,3.80E-01,-0.967584026
3.29E-06,3.80E-01,-0.967584026
3.30E-06,3.80E-01,-0.967584026
3.31E-06,3.80E-01,-0.967584026
3.32E-06,3.80E-01,-0.967584026
3.33E-06,3.80E-01,-0.967584026
3.34E-06,3.60E-01,-1.021651248
3.35E-06,3.60E-01,-1.021651248
3.36E-06,3.60E-01,-1.021651248
3.37E-06,3.60E-01,-1.021651248
3.38E-06,3.60E-01,-1.021651248
3.39E-06,3.60E-01,-1.021651248
3.40E-06,3.60E-01,-1.021651248
3.41E-06,3.60E-01,-1.021651248
3.42E-06,3.60E-01,-1.021651248
3.43E-06,3.60E-01,-1.021651248
3.44E-06,3.60E-01,-1.021651248
3.45E-06,3.60E-01,-1.021651248
3.46E-06,3.60E-01,-1.021651248
3.47E-06,3.60E-01,-1.021651248
3.48E-06,3.60E-01,-1.021651248
3.49E-06,3.40E-01,-1.078809661
3.50E-06,3.60E-01,-1.021651248
3.51E-06,3.40E-01,-1.078809661
3.52E-06,3.40E-01,-1.078809661
3.53E-06,3.40E-01,-1.078809661
3.54E-06,3.40E-01,-1.078809661
3.55E-06,3.40E-01,-1.078809661
3.56E-06,3.20E-01,-1.139434283
3.57E-06,3.40E-01,-1.078809661
3.58E-06,3.20E-01,-1.139434283
3.59E-06,3.20E-01,-1.139434283
3.60E-06,3.20E-01,-1.139434283
3.61E-06,3.40E-01,-1.078809661
3.62E-06,3.20E-01,-1.139434283
3.63E-06,3.20E-01,-1.139434283
3.64E-06,3.00E-01,-1.203972804
3.65E-06,3.20E-01,-1.139434283
3.66E-06,3.20E-01,-1.139434283
3.67E-06,3.00E-01,-1.203972804
3.68E-06,3.00E-01,-1.203972804
3.69E-06,3.00E-01,-1.203972804
3.70E-06,3.00E-01,-1.203972804
3.71E-06,3.00E-01,-1.203972804
3.72E-06,3.00E-01,-1.203972804
3.73E-06,3.00E-01,-1.203972804
3.74E-06,2.80E-01,-1.272965676
3.75E-06,2.80E-01,-1.272965676
3.76E-06,2.80E-01,-1.272965676
3.77E-06,3.00E-01,-1.203972804
3.78E-06,2.80E-01,-1.272965676
3.79E-06,2.80E-01,-1.272965676
3.80E-06,2.80E-01,-1.272965676
3.81E-06,2.80E-01,-1.272965676
3.82E-06,2.80E-01,-1.272965676
3.83E-06,2.80E-01,-1.272965676
3.84E-06,2.80E-01,-1.272965676
3.85E-06,2.80E-01,-1.272965676
3.86E-06,2.80E-01,-1.272965676
3.87E-06,2.80E-01,-1.272965676
3.88E-06,2.80E-01,-1.272965676
3.89E-06,2.80E-01,-1.272965676
3.90E-06,2.80E-01,-1.272965676
3.91E-06,2.80E-01,-1.272965676
3.92E-06,2.80E-01,-1.272965676
3.93E-06,2.80E-01,-1.272965676
3.94E-06,2.80E-01,-1.272965676
3.95E-06,2.80E-01,-1.272965676
3.96E-06,2.60E-01,-1.347073648
3.97E-06,2.60E-01,-1.347073648
3.98E-06,2.60E-01,-1.347073648
3.99E-06,2.60E-01,-1.347073648
4.00E-06,2.60E-01,-1.347073648
4.01E-06,2.60E-01,-1.347073648
4.02E-06,2.60E-01,-1.347073648
4.03E-06,2.60E-01,-1.347073648
4.04E-06,2.60E-01,-1.347073648
4.05E-06,2.60E-01,-1.347073648
4.06E-06,2.60E-01,-1.347073648
4.07E-06,2.60E-01,-1.347073648
4.08E-06,2.40E-01,-1.427116356
4.09E-06,2.40E-01,-1.427116356
4.10E-06,2.40E-01,-1.427116356
4.11E-06,2.40E-01,-1.427116356
4.12E-06,2.40E-01,-1.427116356
4.13E-06,2.40E-01,-1.427116356
4.14E-06,2.40E-01,-1.427116356
4.15E-06,2.40E-01,-1.427116356
4.16E-06,2.40E-01,-1.427116356
4.17E-06,2.40E-01,-1.427116356
4.18E-06,2.40E-01,-1.427116356
4.19E-06,2.40E-01,-1.427116356
4.20E-06,2.20E-01,-1.514127733
4.21E-06,2.40E-01,-1.427116356
4.22E-06,2.20E-01,-1.514127733
4.23E-06,2.20E-01,-1.514127733
4.24E-06,2.20E-01,-1.514127733
4.25E-06,2.20E-01,-1.514127733
4.26E-06,2.20E-01,-1.514127733
4.27E-06,2.20E-01,-1.514127733
4.28E-06,2.20E-01,-1.514127733
4.29E-06,2.20E-01,-1.514127733
4.30E-06,2.20E-01,-1.514127733
4.31E-06,2.00E-01,-1.609437912
4.32E-06,2.20E-01,-1.514127733
4.33E-06,2.20E-01,-1.514127733
4.34E-06,2.20E-01,-1.514127733
4.35E-06,2.20E-01,-1.514127733
4.36E-06,2.20E-01,-1.514127733
4.37E-06,2.00E-01,-1.609437912
4.38E-06,2.00E-01,-1.609437912
4.39E-06,2.00E-01,-1.609437912
4.40E-06,2.00E-01,-1.609437912
4.41E-06,2.00E-01,-1.609437912
4.42E-06,2.00E-01,-1.609437912
4.43E-06,2.00E-01,-1.609437912
4.44E-06,2.00E-01,-1.609437912
4.45E-06,2.00E-01,-1.609437912
4.46E-06,2.00E-01,-1.609437912
4.47E-06,2.00E-01,-1.609437912
4.48E-06,2.00E-01,-1.609437912
4.49E-06,2.00E-01,-1.609437912
4.50E-06,2.00E-01,-1.609437912
4.51E-06,2.00E-01,-1.609437912
4.52E-06,2.00E-01,-1.609437912
4.53E-06,2.00E-01,-1.609437912
4.54E-06,2.00E-01,-1.609437912
4.55E-06,2.00E-01,-1.609437912
4.56E-06,2.00E-01,-1.609437912
4.57E-06,2.00E-01,-1.609437912
4.58E-06,2.00E-01,-1.609437912
4.59E-06,2.00E-01,-1.609437912
4.60E-06,1.80E-01,-1.714798428
4.61E-06,2.00E-01,-1.609437912
4.62E-06,1.80E-01,-1.714798428
4.63E-06,1.80E-01,-1.714798428
4.64E-06,2.00E-01,-1.609437912
4.65E-06,2.00E-01,-1.609437912
4.66E-06,2.00E-01,-1.609437912
4.67E-06,2.00E-01,-1.609437912
4.68E-06,2.00E-01,-1.609437912
4.69E-06,2.00E-01,-1.609437912
4.70E-06,1.80E-01,-1.714798428
4.71E-06,2.00E-01,-1.609437912
4.72E-06,1.80E-01,-1.714798428
4.73E-06,1.80E-01,-1.714798428
4.74E-06,1.80E-01,-1.714798428
4.75E-06,1.80E-01,-1.714798428
4.76E-06,2.00E-01,-1.609437912
4.77E-06,1.80E-01,-1.714798428
4.78E-06,1.80E-01,-1.714798428
4.79E-06,1.60E-01,-1.832581464
4.80E-06,1.80E-01,-1.714798428
4.81E-06,1.80E-01,-1.714798428
4.82E-06,1.80E-01,-1.714798428
4.83E-06,2.00E-01,-1.609437912
4.84E-06,2.00E-01,-1.609437912
4.85E-06,1.80E-01,-1.714798428
4.86E-06,1.80E-01,-1.714798428
4.87E-06,1.60E-01,-1.832581464
4.88E-06,1.80E-01,-1.714798428
4.89E-06,1.60E-01,-1.832581464
4.90E-06,1.60E-01,-1.832581464
4.91E-06,1.80E-01,-1.714798428
4.92E-06,1.60E-01,-1.832581464
4.93E-06,2.00E-01,-1.609437912
4.94E-06,1.60E-01,-1.832581464
4.95E-06,1.60E-01,-1.832581464
4.96E-06,1.80E-01,-1.714798428
4.97E-06,1.80E-01,-1.714798428
4.98E-06,2.00E-01,-1.609437912
4.99E-06,1.60E-01,-1.832581464
5.00E-06,1.80E-01,-1.714798428
5.01E-06,1.60E-01,-1.832581464
5.02E-06,1.60E-01,-1.832581464
5.03E-06,1.60E-01,-1.832581464
5.04E-06,1.60E-01,-1.832581464
5.05E-06,1.80E-01,-1.714798428
5.06E-06,1.60E-01,-1.832581464
5.07E-06,1.60E-01,-1.832581464
5.08E-06,1.60E-01,-1.832581464
5.09E-06,1.60E-01,-1.832581464
5.10E-06,1.60E-01,-1.832581464
5.11E-06,1.40E-01,-1.966112856
5.12E-06,1.60E-01,-1.832581464
5.13E-06,1.60E-01,-1.832581464
5.14E-06,1.60E-01,-1.832581464
5.15E-06,1.60E-01,-1.832581464
5.16E-06,1.60E-01,-1.832581464
5.17E-06,1.40E-01,-1.966112856
5.18E-06,1.60E-01,-1.832581464
5.19E-06,1.60E-01,-1.832581464
5.20E-06,1.40E-01,-1.966112856
5.21E-06,1.60E-01,-1.832581464
5.22E-06,1.40E-01,-1.966112856
5.23E-06,1.40E-01,-1.966112856
5.24E-06,1.40E-01,-1.966112856
5.25E-06,1.40E-01,-1.966112856
5.26E-06,1.40E-01,-1.966112856
5.27E-06,1.40E-01,-1.966112856
5.28E-06,1.40E-01,-1.966112856
5.29E-06,1.40E-01,-1.966112856
5.30E-06,1.40E-01,-1.966112856
5.31E-06,1.40E-01,-1.966112856
5.32E-06,1.40E-01,-1.966112856
5.33E-06,1.40E-01,-1.966112856
5.34E-06,1.40E-01,-1.966112856
5.35E-06,1.20E-01,-2.120263536
5.36E-06,1.40E-01,-1.966112856
5.37E-06,1.40E-01,-1.966112856
5.38E-06,1.40E-01,-1.966112856
5.39E-06,1.40E-01,-1.966112856
5.40E-06,1.20E-01,-2.120263536
5.41E-06,1.40E-01,-1.966112856
5.42E-06,1.40E-01,-1.966112856
5.43E-06,1.40E-01,-1.966112856
5.44E-06,1.20E-01,-2.120263536
5.45E-06,1.40E-01,-1.966112856
5.46E-06,1.20E-01,-2.120263536
5.47E-06,1.20E-01,-2.120263536
5.48E-06,1.40E-01,-1.966112856
5.49E-06,1.20E-01,-2.120263536
5.50E-06,1.20E-01,-2.120263536
5.51E-06,1.20E-01,-2.120263536
5.52E-06,1.40E-01,-1.966112856
5.53E-06,1.20E-01,-2.120263536
5.54E-06,1.20E-01,-2.120263536
5.55E-06,1.20E-01,-2.120263536
5.56E-06,1.20E-01,-2.120263536
5.57E-06,1.20E-01,-2.120263536
5.58E-06,1.20E-01,-2.120263536
5.59E-06,1.20E-01,-2.120263536
5.60E-06,1.20E-01,-2.120263536
5.61E-06,1.20E-01,-2.120263536
5.62E-06,1.20E-01,-2.120263536
5.63E-06,1.20E-01,-2.120263536
5.64E-06,1.20E-01,-2.120263536
5.65E-06,1.20E-01,-2.120263536
5.66E-06,1.20E-01,-2.120263536
5.67E-06,1.20E-01,-2.120263536
5.68E-06,1.20E-01,-2.120263536
5.69E-06,1.20E-01,-2.120263536
5.70E-06,1.20E-01,-2.120263536
5.71E-06,1.20E-01,-2.120263536
5.72E-06,1.20E-01,-2.120263536
5.73E-06,1.20E-01,-2.120263536
5.74E-06,1.20E-01,-2.120263536
5.75E-06,1.20E-01,-2.120263536
5.76E-06,1.20E-01,-2.120263536
5.77E-06,1.20E-01,-2.120263536
5.78E-06,1.20E-01,-2.120263536
5.79E-06,1.20E-01,-2.120263536
5.80E-06,1.20E-01,-2.120263536
5.81E-06,1.20E-01,-2.120263536
5.82E-06,1.20E-01,-2.120263536
5.83E-06,1.20E-01,-2.120263536
5.84E-06,1.20E-01,-2.120263536
5.85E-06,1.20E-01,-2.120263536
5.86E-06,1.20E-01,-2.120263536
5.87E-06,1.20E-01,-2.120263536
5.88E-06,1.20E-01,-2.120263536
5.89E-06,1.20E-01,-2.120263536
5.90E-06,1.20E-01,-2.120263536
5.91E-06,1.20E-01,-2.120263536
5.92E-06,1.20E-01,-2.120263536
5.93E-06,1.20E-01,-2.120263536
5.94E-06,1.20E-01,-2.120263536
5.95E-06,1.20E-01,-2.120263536
5.96E-06,7.99E-02,-2.526979426
5.97E-06,1.20E-01,-2.120263536
5.98E-06,1.20E-01,-2.120263536
5.99E-06,7.99E-02,-2.526979426
6.00E-06,7.99E-02,-2.526979426
6.01E-06,1.20E-01,-2.120263536
6.02E-06,7.99E-02,-2.526979426
6.03E-06,1.20E-01,-2.120263536
6.04E-06,1.20E-01,-2.120263536
6.05E-06,7.99E-02,-2.526979426
6.06E-06,1.20E-01,-2.120263536
6.07E-06,7.99E-02,-2.526979426
